IPP-Werkspoor;;Is onderdeel van IPP-Werkspoor;;;IPP-Werksporen;;;Activiteiten;;;Wordt in huidige situatie uitgevoerd met Tools;;Heeft output Product;;Heeft input Product;;Heeft verantwoordelijke Persoon;
;Naam;;Code;Naam;;Code;Naam;;Nummer tbv volgorde;Naam;;Naam;;Naam;;Naam;;Name
;;;;;;;;;;;TLS-103;BDOK;;;;;;
;;;;;;;;ACT-64;;Uitvoeren onderzoek water;;;PRD-94;Waterparagraaf;;;;
IPP-2;Contract Management;IPP-6;0;Integraal Project- en Programmamanagement;IPP-11;2.1;Contract voorbereiden;;;;;;;;;;PRS-1;Ronald Braam
;;;;;IPP-12;2.2;Opstellen contractendocs;;;;;;;;;;PRS-7;Grietsje van der Heide-wijma
;;;;;IPP-13;2.3;Scopemanagement (CM);;;;;;;;;;;
;;;;;IPP-14;2.4;Contractbeheersing (SCB);;;;;;;;;;;
;;;;;IPP-15;2.5;Aanbestedingsbegeleiding;;;;;;;;;;;
IPP-11;Contract voorbereiden;IPP-2;2;Contract Management;;;;ACT-2;2;Opstellen inkoopplan;TLS-95;MS Word 365;PRD-2;Inkoopplan;;;PRS-1;Ronald Braam
;;;;;;;;ACT-5;1;Bepalen inkoopstrategie;TLS-95;MS Word 365;;;PRD-109;Rapport contractkeuze;PRS-7;Grietsje van der Heide-wijma
;;;;;;;;ACT-108;0;Houden contractkeuzesessie;TLS-95;MS Word 365;PRD-109;Rapport contractkeuze;;;;
;;;;;;;;;;;TLS-97;MS Powerpoint 365;;;;;;
IPP-14;Contractbeheersing (SCB);IPP-2;2;Contract Management;;;;ACT-4;4;Uitvoeren audit;TLS-95;MS Word 365;PRD-17;Auditverslag;PRD-15;Toetsplanning;PRS-1;Ronald Braam
;;;;;;;;ACT-43;5;Uitvoeren toetsen;TLS-95;MS Word 365;PRD-16;Toetsverslag;PRD-15;Toetsplanning;PRS-7;Grietsje van der Heide-wijma
;;;;;;;;ACT-44;6;Verrichten waarnemingen;TLS-95;MS Word 365;PRD-18;Waarnemingsformulier;PRD-15;Toetsplanning;;
;;;;;;;;ACT-45;3;Opstellen toetsplanning;TLS-96;MS Excel 365;PRD-15;Toetsplanning;PRD-3;Vraagspecificatie;;
;;;;;;;;;;;;;;;PRD-4;Annexen;;
;;;;;;;;;;;;;;;PRD-5;Basisovereenkomst;;
;;;;;;;;;;;;;;;PRD-22;Gunningsbeslissing;;
;;;;;;;;ACT-46;2;Opstellen toetsplan;TLS-95;MS Word 365;PRD-14;Toetsplan;PRD-3;Vraagspecificatie;;
;;;;;;;;;;;;;;;PRD-4;Annexen;;
;;;;;;;;;;;;;;;PRD-5;Basisovereenkomst;;
;;;;;;;;;;;;;;;PRD-22;Gunningsbeslissing;;
;;;;;;;;ACT-100;1;Opstellen contratbeheersplan;TLS-95;MS Word 365;PRD-13;Contactbeheersplan;PRD-3;Vraagspecificatie;;
;;;;;;;;;;;;;;;PRD-4;Annexen;;
;;;;;;;;;;;;;;;PRD-5;Basisovereenkomst;;
;;;;;;;;;;;;;;;PRD-22;Gunningsbeslissing;;
IPP-44;Definitief ontwerp/Technisch Ontwerp;IPP-16;3.1;Ontwerpen;;;;ACT-142;;Definitief ontwerp maken;;;PRD-163;Kostenraming (≤10%);PRD-306;Nader bodemonderzoek;PRS-4;Wouter Schreuder
;;;;;;;;;;;;;PRD-166;Ontwerpverantwoording DO;PRD-307;K&L verleggingen;;
;;;;;;;;;;;;;PRD-197;Verificatierapport DO;PRD-308;Opsporen OOO;;
;;;;;;;;;;;;;PRD-201;Uitgangspuntennotitie DO;PRD-309;Omgevingsvergunning;;
;;;;;;;;;;;;;PRD-205;DO-berekening;PRD-310;Geotechnisch onderzoek - Nader onderzoek;;
;;;;;;;;;;;;;PRD-207;Constructieve berekeningen van alle objecten (behalve inkoopdelen) incl. beschouwing fundatie, hoofdwapening en vermoeiingsgevoelige lassen;;;;
;;;;;;;;;;;;;PRD-208;Berekening aandrijvingen (indien van toepassing). Hierin ook inkoopdelen beschouwen (tandwielkasten);;;;
;;;;;;;;;;;;;PRD-209;Funderingsberekening;;;;
;;;;;;;;;;;;;PRD-210;Zettingsberekening;;;;
;;;;;;;;;;;;;PRD-211;3D model - uitwerking;;;;
;;;;;;;;;;;;;PRD-212;Clash detectie rapport (indien van toepassing);;;;
;;;;;;;;;;;;;PRD-213;Kaderbladen DO;;;;
;;;;;;;;;;;;;PRD-214;Ontwerpdocumenten - specifiek;;;;
;;;;;;;;;;;;;PRD-215;Functioneel ontwerp E-installaties incl. systeemschema;;;;
;;;;;;;;;;;;;PRD-216;RAMS analyse & FMECA;;;;
;;;;;;;;;;;;;PRD-217;RI&E - Machineveiligheid;;;;
;;;;;;;;;;;;;PRD-218;Baanberekening;;;;
;;;;;;;;;;;;;PRD-219;Zettingsberekening;;;;
;;;;;;;;;;;;;PRD-220;V&G-plan ontwerpfase (DO);;;;
;;;;;;;;;;;;;PRD-221;V&G-dossier (DO);;;;
;;;;;;;;;;;;;PRD-222;Cameraplan;;;;
;;;;;;;;;;;;;PRD-223;Voeding- en telecomplan;;;;
;;;;;;;;;;;;;PRD-224;Bewegwijzerings- en geleidelijnenplan;;;;
;;;;;;;;;;;;;PRD-225;Reisinformatie- en bebordingsplan;;;;
;;;;;;;;;;;;;PRD-226;Verlichtingsplan;;;;
;;;;;;;;;;;;;PRD-227;Waterbergingsberekening nieuwe situatie;;;;
;;;;;;;;;;;;;PRD-228;Zettingsberekening;;;;
;;;;;;;;;;;;;PRD-230;Plan watersysteem & watersysteemkaart nieuwe situatie;;;;
;;;;;;;;;;;;;PRD-231;Uitwerking stuwen en duikers;;;;
;;;;;;;;;;;;;PRD-232;Verhardingsberekeningen;;;;
;;;;;;;;;;;;;PRD-233;Verlichtingsberekening;;;;
;;;;;;;;;;;;;PRD-234;Rioleringsberekening;;;;
;;;;;;;;;;;;;PRD-235;Stabiliteits- en zettingsberekeningen van taluds en terpen;;;;
;;;;;;;;;;;;;PRD-236;Dwarsprofielen (DO);;;;
;;;;;;;;;;;;;PRD-237;Lengteprofielen (DO);;;;
;;;;;;;;;;;;;PRD-238;Situatietekeningen (DO);;;;
;;;;;;;;;;;;;PRD-239;Principedetails (DO);;;;
;;;;;;;;;;;;;PRD-240;Beplantingsplan (DO);;;;
;;;;;;;;;;;;;PRD-241;Verlichtingsplan;;;;
;;;;;;;;;;;;;PRD-242;Verkeerregelinstallatie (VRI);;;;
;;;;;;;;;;;;;PRD-243;Rioleringsplan;;;;
;;;;;;;;;;;;;PRD-244;Hoeveelheden DO;;;;
;;;;;;;;;;;;;PRD-245;Vaststellen geometrie;;;;
;;;;;;;;ACT-148;;Workbreakdownstructure maken;;;PRD-171;WBS;;;;
IPP-55;Duurzaamheid;;;;;;;;;;;;;;;;;
